<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBIT.US,D,20240112,000000,26.4,26.41,24.75,24.97,22991870,0
IBIT.US,D,20240116,000000,24.7,24.862,24.04,24.72,15078207,0
IBIT.US,D,20240117,000000,24.35,24.56,24.15,24.41,13964502,0
IBIT.US,D,20240118,000000,24.35,24.47,23.2,23.34,17823191,0
IBIT.US,D,20240119,000000,23.49,24.1199,23.03,23.8,18284068,0
IBIT.US,D,20240122,000000,23.2,23.33,22.5,22.95,17222074,0
IBIT.US,D,20240123,000000,22.19,22.63,22.02,22.32,13431658,0
IBIT.US,D,20240124,000000,22.82,22.97,22.57,22.6,11929147,0
IBIT.US,D,20240125,000000,22.86,22.9,22.58,22.76,8954870,0
IBIT.US,D,20240126,000000,23.52,24.12,23.48,23.99,20273847,0
IBIT.US,D,20240129,000000,23.99,24.77,23.88,24.67,19012898,0
IBIT.US,D,20240130,000000,24.84,24.98,24.685,24.88,15541322,0
IBIT.US,D,20240131,000000,24.38,25,24.26,24.3,13369335,0
IBIT.US,D,20240201,000000,24.21,24.72,24.19,24.54,12411413,0
IBIT.US,D,20240202,000000,24.39,24.825,24.38,24.5,10329020,0
IBIT.US,D,20240205,000000,24.75,24.79,24.13,24.19,6807517,0
IBIT.US,D,20240206,000000,24.47,24.7699,24.4498,24.6,7352898,0
IBIT.US,D,20240207,000000,24.66,25.2857,24.49,25.22,13952229,0
IBIT.US,D,20240208,000000,25.755,26.08,25.64,26.03,18568455,0
IBIT.US,D,20240209,000000,26.85,27.57,26.75,27.15,20742776,0
IBIT.US,D,20240212,000000,27.53,28.86,27.515,28.66,35138572,0
IBIT.US,D,20240213,000000,27.97,28.28,27.62,28.22,20913598,0
IBIT.US,D,20240214,000000,29.58,29.825,29.24,29.55,28134453,0
IBIT.US,D,20240215,000000,29.995,30.23,29.48,29.52,22844686,0
IBIT.US,D,20240216,000000,29.858,29.97,29.49,29.62,15976526,0
IBIT.US,D,20240220,000000,29.88,29.92,28.97,29.67,21166418,0
IBIT.US,D,20240221,000000,29.055,29.35,28.91,29.08,17767555,0
IBIT.US,D,20240222,000000,29.17,29.76,29.135,29.72,15468402,0
IBIT.US,D,20240223,000000,29.26,29.31,28.91,29.16,13285822,0
