<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OAIB.US,D,20230406,000000,25.07,25.07,25.07,25.07,142,0
OAIB.US,D,20230410,000000,24.92,24.93,24.92,24.93,793,0
OAIB.US,D,20230411,000000,25.17,25.28,25.1201,25.1201,108610,0
OAIB.US,D,20230412,000000,25.12,25.205,25.1,25.205,3905,0
OAIB.US,D,20230413,000000,25.269,25.269,25.2267,25.2552,1468,0
OAIB.US,D,20230414,000000,25.27,25.3001,25.27,25.3001,156,0
OAIB.US,D,20230417,000000,25.39,25.39,25.2701,25.2701,282,0
OAIB.US,D,20230418,000000,25.4199,25.6,25.4199,25.46,1685,0
OAIB.US,D,20230419,000000,25.52,25.52,25.4651,25.4651,1616,0
OAIB.US,D,20230420,000000,25.56,25.56,25.46,25.46,609,0
OAIB.US,D,20230421,000000,25.51,25.51,25.465,25.465,456,0
OAIB.US,D,20230424,000000,25.48,25.48,25.4349,25.4349,805,0
OAIB.US,D,20230425,000000,25.2353,25.26,25.2353,25.26,110,0
OAIB.US,D,20230426,000000,25.245,25.245,25.245,25.245,8,0
OAIB.US,D,20230427,000000,25.2,25.24,25.2,25.24,1073,0
OAIB.US,D,20230428,000000,25.375,25.375,25.375,25.375,1200,0
OAIB.US,D,20230501,000000,25.445,25.445,25.445,25.445,1426,0
OAIB.US,D,20230502,000000,25.445,25.445,25.445,25.445,150,0
OAIB.US,D,20230503,000000,25.4349,25.4349,25.4349,25.4349,1400,0
OAIB.US,D,20230504,000000,25.38,25.38,25.38,25.38,211,0
OAIB.US,D,20230505,000000,25.21,25.21,25.21,25.21,103,0
OAIB.US,D,20230508,000000,25.3107,25.3107,25.3107,25.3107,1400,0
OAIB.US,D,20230509,000000,25.295,25.295,25.295,25.295,237,0
OAIB.US,D,20230510,000000,25.365,25.365,25.365,25.365,75,0
OAIB.US,D,20230511,000000,25.46,25.57,25.46,25.57,1200,0
