<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JANQ.US,D,20240103,000000,24.545,24.545,24.51,24.515,79511,0
JANQ.US,D,20240104,000000,24.55,24.55,24.4833,24.515,3614,0
JANQ.US,D,20240105,000000,24.55,24.59,24.5129,24.5501,5056,0
JANQ.US,D,20240108,000000,24.59,24.5999,24.5601,24.5952,4969,0
JANQ.US,D,20240109,000000,24.6,24.64,24.57,24.57,3174,0
JANQ.US,D,20240110,000000,24.6245,24.6245,24.6245,24.6245,110,0
JANQ.US,D,20240111,000000,24.63,24.63,24.63,24.63,100,0
JANQ.US,D,20240112,000000,24.655,24.6896,24.6471,24.6752,5395,0
JANQ.US,D,20240116,000000,24.68,24.69,24.6452,24.6452,6572,0
JANQ.US,D,20240117,000000,24.605,24.64,24.5953,24.61,1458,0
JANQ.US,D,20240118,000000,24.6599,24.6599,24.6354,24.6354,254,0
JANQ.US,D,20240119,000000,24.66,24.66,24.66,24.66,27,0
JANQ.US,D,20240122,000000,24.684,24.709,24.6413,24.67,5035,0
JANQ.US,D,20240123,000000,24.7,24.7,24.6844,24.69,479,0
JANQ.US,D,20240124,000000,24.73,24.73,24.6946,24.6946,3048,0
JANQ.US,D,20240125,000000,24.7,24.7,24.7,24.7,177,0
JANQ.US,D,20240126,000000,24.7,24.73,24.7,24.7,909,0
JANQ.US,D,20240129,000000,24.7152,24.7152,24.7152,24.7152,398,0
JANQ.US,D,20240130,000000,24.73,24.73,24.6841,24.705,1289,0
JANQ.US,D,20240131,000000,24.74,24.74,24.67,24.7029,2795,0
JANQ.US,D,20240201,000000,24.71,24.74,24.71,24.715,13908,0
JANQ.US,D,20240202,000000,24.75,24.75,24.6799,24.74,5152,0
JANQ.US,D,20240205,000000,24.681,24.7304,24.681,24.71,945,0
JANQ.US,D,20240206,000000,24.6985,24.75,24.6985,24.75,4884,0
JANQ.US,D,20240207,000000,24.76,24.78,24.73,24.77,3295,0
JANQ.US,D,20240208,000000,24.76,24.77,24.73,24.745,2054,0
JANQ.US,D,20240209,000000,24.77,24.77,24.755,24.755,145,0
JANQ.US,D,20240212,000000,24.78,24.78,24.72,24.745,1308,0
JANQ.US,D,20240213,000000,24.6901,24.6901,24.6901,24.6901,13,0
JANQ.US,D,20240214,000000,24.75,24.75,24.69,24.73,1008,0
JANQ.US,D,20240215,000000,24.7368,24.7368,24.7368,24.7368,112,0
JANQ.US,D,20240216,000000,24.77,24.77,24.735,24.735,1706,0
JANQ.US,D,20240220,000000,24.735,24.77,24.7101,24.76,19854,0
JANQ.US,D,20240221,000000,24.72,24.76,24.7073,24.76,374324,0
JANQ.US,D,20240222,000000,24.77,24.79,24.7373,24.79,4522,0
JANQ.US,D,20240223,000000,24.785,24.8194,24.75,24.81,3763,0
JANQ.US,D,20240226,000000,24.77,24.81,24.77,24.81,5193,0
JANQ.US,D,20240227,000000,24.78,24.82,24.78,24.81,3269,0
JANQ.US,D,20240228,000000,24.79,24.82,24.79,24.7901,1209,0
JANQ.US,D,20240229,000000,24.83,24.83,24.77,24.8,3101,0
JANQ.US,D,20240301,000000,24.8236,24.85,24.7973,24.815,1903,0
JANQ.US,D,20240304,000000,24.8,24.805,24.77,24.805,10248,0
JANQ.US,D,20240305,000000,24.82,24.82,24.805,24.805,498,0
JANQ.US,D,20240306,000000,24.8017,24.84,24.8017,24.815,4018,0
JANQ.US,D,20240307,000000,24.78,24.84,24.78,24.815,1230,0
JANQ.US,D,20240308,000000,24.8699,24.8699,24.78,24.815,729,0
JANQ.US,D,20240311,000000,24.805,24.83,24.805,24.81,1107,0
JANQ.US,D,20240312,000000,24.7919,24.85,24.7919,24.8294,6309,0
