<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CVMC.US,D,20230202,000000,52.569,52.569,52.569,52.569,55,0
CVMC.US,D,20230203,000000,51.9703,51.9703,51.9703,51.9703,44,0
CVMC.US,D,20230206,000000,51.59,51.59,51.38,51.4834,886,0
CVMC.US,D,20230207,000000,52.0331,52.0331,52.0331,52.0331,12,0
CVMC.US,D,20230208,000000,51.4533,51.4533,51.4533,51.4533,66,0
CVMC.US,D,20230209,000000,51.27,51.27,50.8521,50.8521,1313,0
CVMC.US,D,20230210,000000,50.7903,50.7903,50.7903,50.7903,79,0
CVMC.US,D,20230213,000000,51.31,51.4304,51.31,51.4304,100,0
CVMC.US,D,20230214,000000,51.31,51.5432,51.31,51.5432,1,0
CVMC.US,D,20230215,000000,52.0213,52.0213,52.0213,52.0213,1,0
CVMC.US,D,20230216,000000,51.62,51.632,51.455,51.455,314,0
CVMC.US,D,20230217,000000,51.3329,51.3329,51.3329,51.3329,80,0
CVMC.US,D,20230221,000000,50.43,50.43,50.175,50.175,102,0
CVMC.US,D,20230222,000000,49.9994,49.9994,49.9994,49.9994,21,0
CVMC.US,D,20230223,000000,50.1768,50.1768,50.1768,50.1768,39,0
CVMC.US,D,20230224,000000,49.71,49.71,49.7036,49.7036,110,0
CVMC.US,D,20230227,000000,49.828,49.828,49.828,49.828,21,0
CVMC.US,D,20230228,000000,50.1138,50.14,49.911,49.911,4980,0
CVMC.US,D,20230301,000000,50.1138,50.1138,49.7784,49.7784,1,0
CVMC.US,D,20230302,000000,50.1356,50.1356,50.1356,50.1356,102,0
CVMC.US,D,20230303,000000,50.899,50.899,50.899,50.899,2,0
CVMC.US,D,20230306,000000,50.5118,50.5118,50.5118,50.5118,1,0
CVMC.US,D,20230307,000000,50.17,50.17,49.8279,49.8279,378,0
CVMC.US,D,20230308,000000,49.76,49.8761,49.76,49.8761,189,0
CVMC.US,D,20230309,000000,49.23,49.23,48.7045,48.7045,103,0
CVMC.US,D,20230310,000000,47.4,47.4,47.3362,47.3362,106,0
CVMC.US,D,20230313,000000,47.4,47.4,46.7195,46.7195,1,0
CVMC.US,D,20230314,000000,47.4194,47.4194,47.4194,47.4194,17,0
CVMC.US,D,20230315,000000,46.5057,46.5057,46.5057,46.5057,46,0
CVMC.US,D,20230316,000000,47.2897,47.2897,47.2897,47.2897,15,0
CVMC.US,D,20230317,000000,46.4101,46.4101,46.4101,46.4101,3,0
CVMC.US,D,20230320,000000,46.9054,46.9054,46.9054,46.9054,15,0
CVMC.US,D,20230321,000000,47.72,47.767,47.71,47.767,837,0
CVMC.US,D,20230322,000000,46.757,46.757,46.757,46.757,1,0
CVMC.US,D,20230323,000000,46.48,46.5888,46.48,46.5888,188,0
CVMC.US,D,20230324,000000,46.6779,46.6779,46.6779,46.6779,41,0
CVMC.US,D,20230327,000000,47.1232,47.1232,47.1232,47.1232,5,0
CVMC.US,D,20230328,000000,47.1685,47.1685,47.1685,47.1685,10,0
CVMC.US,D,20230329,000000,47.8372,47.8372,47.8372,47.8372,15,0
CVMC.US,D,20230330,000000,47.995,47.995,47.995,47.995,230,0
CVMC.US,D,20230331,000000,48.837,48.837,48.837,48.837,15,0
CVMC.US,D,20230403,000000,48.6928,48.6928,48.6928,48.6928,98,0
CVMC.US,D,20230404,000000,47.9806,47.9806,47.9806,47.9806,2,0
CVMC.US,D,20230405,000000,47.5799,47.5799,47.5799,47.5799,11,0
CVMC.US,D,20230406,000000,47.5852,47.5852,47.5852,47.5852,15,0
CVMC.US,D,20230410,000000,47.61,47.9558,47.6098,47.9558,275,0
CVMC.US,D,20230411,000000,48.3569,48.3569,48.3569,48.3569,56,0
CVMC.US,D,20230412,000000,48.1693,48.1693,48.1693,48.1693,56,0
CVMC.US,D,20230413,000000,48.6134,48.6134,48.6134,48.6134,56,0
CVMC.US,D,20230414,000000,48.6,48.6,48.3583,48.3583,100,0
CVMC.US,D,20230417,000000,48.6694,48.6694,48.6694,48.6694,56,0
CVMC.US,D,20230418,000000,48.75,48.79,48.75,48.7771,926,0
CVMC.US,D,20230419,000000,48.7553,48.7553,48.7553,48.7553,56,0
CVMC.US,D,20230420,000000,48.62,48.62,48.523,48.523,100,0
CVMC.US,D,20230421,000000,48.5,48.5522,48.5,48.5522,275,0
CVMC.US,D,20230424,000000,48.56,48.57,48.5498,48.5664,1963,0
CVMC.US,D,20230425,000000,47.6148,47.6148,47.6148,47.6148,37,0
CVMC.US,D,20230426,000000,47.1932,47.1932,47.1932,47.1932,56,0
CVMC.US,D,20230427,000000,47.874,47.874,47.874,47.874,2,0
CVMC.US,D,20230428,000000,48.2463,48.2463,48.2463,48.2463,82,0
CVMC.US,D,20230501,000000,48.47,48.47,48.2702,48.2702,337,0
