<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JAND.US,D,20240103,000000,24.502,24.54,24.45,24.5151,26751,0
JAND.US,D,20240104,000000,24.49,24.5599,24.43,24.495,16357,0
JAND.US,D,20240105,000000,24.56,24.56,24.4802,24.5154,15261,0
JAND.US,D,20240108,000000,24.58,24.67,24.58,24.65,9696,0
JAND.US,D,20240109,000000,24.58,24.68,24.58,24.6544,5229,0
JAND.US,D,20240110,000000,24.72,24.73,24.6685,24.7202,1334,0
JAND.US,D,20240111,000000,24.67,24.73,24.63,24.724,6587,0
JAND.US,D,20240112,000000,24.8,24.8,24.73,24.73,2040,0
JAND.US,D,20240116,000000,24.73,24.73,24.7219,24.7219,1001,0
JAND.US,D,20240117,000000,24.65,24.68,24.65,24.6639,6553,0
JAND.US,D,20240118,000000,24.68,24.7417,24.68,24.7417,40924,0
JAND.US,D,20240119,000000,24.84,24.86,24.82,24.822,7190,0
JAND.US,D,20240122,000000,24.88,24.88,24.8643,24.8643,998,0
JAND.US,D,20240123,000000,24.91,24.91,24.91,24.91,1144,0
JAND.US,D,20240124,000000,24.985,24.985,24.9093,24.9093,3067,0
JAND.US,D,20240125,000000,24.94,24.94,24.91,24.9311,939,0
JAND.US,D,20240126,000000,24.95,24.95,24.93,24.93,540,0
JAND.US,D,20240129,000000,24.95,24.9811,24.95,24.9811,595,0
JAND.US,D,20240130,000000,24.97,24.99,24.9571,24.9616,3219,0
JAND.US,D,20240131,000000,24.96,24.97,24.9,24.9,3063,0
JAND.US,D,20240201,000000,24.93,24.98,24.91,24.96,27445,0
JAND.US,D,20240202,000000,24.97,25.0018,24.97,25.0018,335,0
JAND.US,D,20240205,000000,25.02,25.02,25,25.0006,2533,0
JAND.US,D,20240206,000000,24.995,25.04,24.995,25.0139,1648,0
JAND.US,D,20240207,000000,25.06,25.11,25.06,25.0753,6521,0
JAND.US,D,20240208,000000,25.0942,25.096,25.0732,25.0732,6332,0
JAND.US,D,20240209,000000,25.1,25.12,25.1,25.12,597,0
JAND.US,D,20240212,000000,25.085,25.085,25.085,25.085,47,0
JAND.US,D,20240213,000000,25,25.01,24.97,24.9783,6887,0
JAND.US,D,20240214,000000,25.0555,25.0555,25.0555,25.0555,211,0
JAND.US,D,20240215,000000,25.09,25.1,25.06,25.095,5700,0
JAND.US,D,20240216,000000,25.0603,25.095,25.059,25.059,904,0
JAND.US,D,20240220,000000,25.0329,25.0329,25.0329,25.0329,98,0
JAND.US,D,20240221,000000,25.03,25.0549,25.0132,25.0549,2900,0
JAND.US,D,20240222,000000,25.165,25.165,25.1531,25.1531,1186,0
JAND.US,D,20240223,000000,25.165,25.165,25.165,25.165,53,0
JAND.US,D,20240226,000000,25.1645,25.1645,25.1645,25.1645,2,0
JAND.US,D,20240227,000000,25.185,25.185,25.185,25.185,82,0
JAND.US,D,20240228,000000,25.1714,25.1714,25.1714,25.1714,5,0
JAND.US,D,20240229,000000,25.2,25.22,25.2,25.2096,5179,0
JAND.US,D,20240301,000000,25.2302,25.255,25.23,25.255,3523,0
JAND.US,D,20240304,000000,25.25,25.25,25.2297,25.2297,1632,0
JAND.US,D,20240305,000000,25.1786,25.1786,25.1786,25.1786,27,0
JAND.US,D,20240306,000000,25.22,25.22,25.2097,25.2097,3165,0
JAND.US,D,20240307,000000,25.25,25.25,25.2367,25.2367,2419,0
JAND.US,D,20240308,000000,25.23,25.23,25.2155,25.2155,263,0
JAND.US,D,20240311,000000,25.17,25.27,25.17,25.27,23114,0
JAND.US,D,20240312,000000,25.21,25.275,25.21,25.275,1750,0
JAND.US,D,20240313,000000,25.265,25.265,25.265,25.265,71,0
JAND.US,D,20240314,000000,25.24,25.2601,25.24,25.2601,1979,0
JAND.US,D,20240315,000000,25.23,25.235,25.23,25.235,300,0
JAND.US,D,20240318,000000,25.3,25.3,25.265,25.265,5471,0
JAND.US,D,20240319,000000,25.3,25.3,25.3,25.3,58,0
JAND.US,D,20240320,000000,25.27,25.37,25.27,25.3555,2702,0
JAND.US,D,20240321,000000,25.3699,25.3699,25.3699,25.3699,27,0
JAND.US,D,20240322,000000,25.3845,25.3845,25.3845,25.3845,27,0
JAND.US,D,20240325,000000,25.375,25.375,25.375,25.375,27,0
JAND.US,D,20240326,000000,25.375,25.375,25.375,25.375,27,0
JAND.US,D,20240327,000000,24.9161,24.9161,24.9161,24.9161,21,0
JAND.US,D,20240328,000000,24.9349,24.9349,24.9349,24.9349,27,0
JAND.US,D,20240401,000000,24.94,24.94,24.9139,24.9139,363,0
JAND.US,D,20240402,000000,24.885,24.885,24.885,24.885,15,0
JAND.US,D,20240403,000000,24.8853,24.8853,24.8853,24.8853,23,0
JAND.US,D,20240404,000000,24.8425,24.8425,24.8425,24.8425,1,0
JAND.US,D,20240405,000000,24.875,24.875,24.875,24.875,35,0
JAND.US,D,20240408,000000,24.895,24.895,24.895,24.895,1,0
JAND.US,D,20240409,000000,24.907,24.907,24.907,24.907,2,0
JAND.US,D,20240410,000000,24.82,24.8675,24.82,24.8675,223,0
JAND.US,D,20240411,000000,24.8845,24.8845,24.8845,24.8845,1,0
JAND.US,D,20240412,000000,24.8002,24.8002,24.8002,24.8002,1,0
JAND.US,D,20240415,000000,24.745,24.745,24.745,24.745,9,0
JAND.US,D,20240416,000000,24.7557,24.7557,24.7557,24.7557,1,0
JAND.US,D,20240417,000000,24.7427,24.7427,24.7427,24.7427,21,0
