<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRNY.US,D,20231026,000000,19.43,19.43,19.3717,19.3717,623,0
MRNY.US,D,20231027,000000,18.9,18.9,18.25,18.3307,3446,0
MRNY.US,D,20231030,000000,18.9395,18.9395,18.9395,18.9395,380,0
MRNY.US,D,20231031,000000,18.78,19.405,18.75,19.392,7847,0
MRNY.US,D,20231101,000000,19.5,19.5,19.425,19.4785,840,0
MRNY.US,D,20231102,000000,18.2,18.31,16.79,18.2306,7028,0
MRNY.US,D,20231103,000000,18.57,19.15,18.57,19.0777,5354,0
MRNY.US,D,20231106,000000,19.49,19.49,18.4136,18.4136,7284,0
MRNY.US,D,20231107,000000,18.5,19.6,18.3415,18.7431,7819,0
MRNY.US,D,20231108,000000,18.58,18.58,18.12,18.3713,4288,0
MRNY.US,D,20231109,000000,18.42,18.42,17.9074,17.9074,7738,0
MRNY.US,D,20231110,000000,18.85,18.85,17.75,18.0743,1464,0
MRNY.US,D,20231113,000000,17.95,18.0716,17.68,18.0716,26515,0
MRNY.US,D,20231114,000000,18.18,18.2,18.14,18.17,2924,0
MRNY.US,D,20231115,000000,18.7301,18.85,18.73,18.815,3882,0
MRNY.US,D,20231116,000000,18.7299,18.85,18.7299,18.8396,9942,0
MRNY.US,D,20231117,000000,18.89,18.89,18.79,18.8603,9410,0
MRNY.US,D,20231120,000000,19.06,19.4999,19.06,19.4557,11711,0
MRNY.US,D,20231121,000000,19.18,19.2377,19.18,19.1948,1945,0
MRNY.US,D,20231122,000000,19.44,19.55,19.435,19.527,2916,0
MRNY.US,D,20231124,000000,19.685,19.71,19.685,19.6999,2020,0
MRNY.US,D,20231127,000000,19.15,19.2036,18.71,19.2036,17498,0
MRNY.US,D,20231128,000000,18.7199,19.2313,18.7199,19.2313,4918,0
MRNY.US,D,20231129,000000,19.69,19.77,19.4393,19.4393,13935,0
MRNY.US,D,20231130,000000,19.46,19.62,19.1217,19.1217,7774,0
MRNY.US,D,20231201,000000,18.93,19.74,18.42,19.6912,32429,0
MRNY.US,D,20231204,000000,19.5,19.86,19.35,19.7274,11600,0
MRNY.US,D,20231205,000000,19.55,19.6,19.41,19.4131,4345,0
MRNY.US,D,20231206,000000,19.4,20.48,19.3715,19.9569,15997,0
MRNY.US,D,20231207,000000,19.13,19.59,18.87,19.44,21706,0
MRNY.US,D,20231208,000000,19.31,19.73,19.31,19.5506,5277,0
MRNY.US,D,20231211,000000,19.52,20.05,19.52,19.9706,8144,0
MRNY.US,D,20231212,000000,18.9,19.134,18.74,19.1161,7837,0
MRNY.US,D,20231213,000000,18.62,19.2533,18.0188,19.2533,16353,0
MRNY.US,D,20231214,000000,20.12,21.07,20.12,20.8277,27512,0
MRNY.US,D,20231215,000000,21.065,21.19,20.98,21.1188,6369,0
MRNY.US,D,20231218,000000,21.1268,21.1268,20.6198,20.9772,2862,0
MRNY.US,D,20231219,000000,21.07,21.8068,21.05,21.8068,63906,0
MRNY.US,D,20231220,000000,21.7,21.8,21.26,21.2614,7856,0
MRNY.US,D,20231221,000000,21.71,22.1732,21.696,22.1732,2445,0
MRNY.US,D,20231222,000000,22.33,22.46,22.33,22.445,5704,0
MRNY.US,D,20231226,000000,22.67,22.8042,21.9898,22.8042,16661,0
MRNY.US,D,20231227,000000,23.15,23.6,23.01,23.5662,11464,0
MRNY.US,D,20231228,000000,23.73,23.73,23.28,23.367,6901,0
MRNY.US,D,20231229,000000,23.56,23.67,23.34,23.5927,5795,0
MRNY.US,D,20240102,000000,23.6,24.81,23.6,24.7701,28027,0
MRNY.US,D,20240103,000000,24.79,24.8,24.58,24.73,13517,0
MRNY.US,D,20240104,000000,26,26,24.7,24.94,576178,0
MRNY.US,D,20240105,000000,22.07,22.52,21.9401,22.31,208881,0
MRNY.US,D,20240108,000000,22.19,22.9155,21.72,22.8218,112695,0
