<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FYLG.US,D,20221125,000000,25.2104,25.2104,25.2104,25.2104,24,0
FYLG.US,D,20221128,000000,24.9211,24.9211,24.9211,24.9211,22,0
FYLG.US,D,20221129,000000,25.0349,25.0349,25.0349,25.0349,55,0
FYLG.US,D,20221130,000000,24.89,25.282,24.89,25.282,175,0
FYLG.US,D,20221201,000000,25.2138,25.2138,25.2138,25.2138,1,0
FYLG.US,D,20221202,000000,25.17,25.17,25.17,25.17,10,0
FYLG.US,D,20221205,000000,24.7448,24.7448,24.7448,24.7448,28,0
FYLG.US,D,20221206,000000,24.5859,24.5859,24.5859,24.5859,25,0
FYLG.US,D,20221207,000000,24.4928,24.4928,24.4928,24.4928,1,0
FYLG.US,D,20221208,000000,24.5308,24.5308,24.5308,24.5308,3,0
FYLG.US,D,20221209,000000,24.55,24.589,24.5226,24.5226,224,0
FYLG.US,D,20221212,000000,24.615,24.7507,24.615,24.7507,305,0
FYLG.US,D,20221213,000000,24.8454,24.8454,24.8454,24.8454,52,0
FYLG.US,D,20221214,000000,24.6704,24.6704,24.6704,24.6704,154,0
FYLG.US,D,20221215,000000,24.1935,24.1935,24.1935,24.1935,14,0
FYLG.US,D,20221216,000000,24.0526,24.0526,24.0526,24.0526,16,0
FYLG.US,D,20221219,000000,24.0118,24.0118,24.0118,24.0118,4,0
FYLG.US,D,20221220,000000,24.0721,24.0721,24.0721,24.0721,12,0
FYLG.US,D,20221221,000000,24.3657,24.3657,24.3657,24.3657,5,0
FYLG.US,D,20221222,000000,24.1977,24.1977,24.1977,24.1977,33,0
FYLG.US,D,20221223,000000,24.3251,24.3251,24.3251,24.3251,68,0
FYLG.US,D,20221227,000000,24.3362,24.3362,24.3362,24.3362,1,0
FYLG.US,D,20221228,000000,24.2845,24.2845,24.2845,24.2845,4,0
FYLG.US,D,20221229,000000,24.4182,24.4182,24.4182,24.4182,13,0
FYLG.US,D,20221230,000000,24.3727,24.3727,24.3727,24.3727,50,0
FYLG.US,D,20230103,000000,24.4346,24.4346,24.4346,24.4346,1,0
FYLG.US,D,20230104,000000,24.65,24.6898,24.65,24.6898,143,0
FYLG.US,D,20230105,000000,24.5811,24.5811,24.5811,24.5811,26,0
FYLG.US,D,20230106,000000,24.76,24.9512,24.76,24.9512,1890,0
FYLG.US,D,20230109,000000,25.11,25.11,24.9147,24.9147,913,0
FYLG.US,D,20230110,000000,25.0104,25.0104,25.0104,25.0104,8,0
FYLG.US,D,20230111,000000,25.1243,25.1243,25.1243,25.1243,34,0
FYLG.US,D,20230112,000000,25.1884,25.1884,25.1884,25.1884,7,0
FYLG.US,D,20230113,000000,25.2826,25.2826,25.2826,25.2826,5,0
FYLG.US,D,20230117,000000,25.22,25.22,25.1903,25.1903,488,0
FYLG.US,D,20230118,000000,25.03,25.03,24.9587,24.9587,377,0
FYLG.US,D,20230119,000000,24.84,24.8401,24.8218,24.8218,320,0
FYLG.US,D,20230120,000000,25.1036,25.1036,25.1036,25.1036,29,0
FYLG.US,D,20230123,000000,25.1814,25.1814,25.1814,25.1814,59,0
FYLG.US,D,20230124,000000,25.1943,25.1943,25.1943,25.1943,3,0
FYLG.US,D,20230125,000000,25.2441,25.3033,25.2441,25.3033,142,0
FYLG.US,D,20230126,000000,25.292,25.3927,25.29,25.3927,207,0
FYLG.US,D,20230127,000000,25.4202,25.4202,25.4202,25.4202,15,0
FYLG.US,D,20230130,000000,25.39,25.4,25.3364,25.3364,435,0
FYLG.US,D,20230131,000000,25.465,25.5431,25.452,25.5431,274,0
FYLG.US,D,20230201,000000,25.44,25.5554,25.44,25.5554,545,0
FYLG.US,D,20230202,000000,25.55,25.6067,25.54,25.6067,1449,0
FYLG.US,D,20230203,000000,25.6022,25.6022,25.6022,25.6022,25,0
FYLG.US,D,20230206,000000,25.55,25.5842,25.55,25.5842,302,0
FYLG.US,D,20230207,000000,25.71,25.7794,25.71,25.7794,154,0
FYLG.US,D,20230208,000000,25.6813,25.6813,25.6813,25.6813,76,0
FYLG.US,D,20230209,000000,25.5112,25.5112,25.5112,25.5112,51,0
FYLG.US,D,20230210,000000,25.57,25.57,25.57,25.57,51,0
FYLG.US,D,20230213,000000,25.68,25.7203,25.68,25.7203,235,0
FYLG.US,D,20230214,000000,25.68,25.6854,25.68,25.6854,50,0
FYLG.US,D,20230215,000000,25.6876,25.6876,25.6876,25.6876,35,0
FYLG.US,D,20230216,000000,25.66,25.66,25.5668,25.5668,745,0
FYLG.US,D,20230217,000000,25.5503,25.5503,25.5503,25.5503,111,0
FYLG.US,D,20230221,000000,25.2199,25.2199,25.0058,25.0058,1894,0
FYLG.US,D,20230222,000000,24.9291,24.9291,24.9291,24.9291,215,0
FYLG.US,D,20230223,000000,24.9928,24.9928,24.9928,24.9928,33,0
FYLG.US,D,20230224,000000,24.93,25.07,24.906,25.0155,1981,0
FYLG.US,D,20230227,000000,25.03,25.03,25.0265,25.0265,252,0
FYLG.US,D,20230228,000000,25.115,25.189,25.1,25.1016,1736,0
FYLG.US,D,20230301,000000,25.069,25.069,24.98,24.98,535,0
FYLG.US,D,20230302,000000,24.63,24.8666,24.63,24.8666,893,0
FYLG.US,D,20230303,000000,25.2548,25.2548,25.2548,25.2548,346,0
FYLG.US,D,20230306,000000,25.2886,25.2886,25.2886,25.2886,187,0
FYLG.US,D,20230307,000000,24.67,24.67,24.67,24.67,54,0
FYLG.US,D,20230308,000000,24.5683,24.5683,24.5683,24.5683,180,0
FYLG.US,D,20230309,000000,23.59,23.59,23.5796,23.5796,239,0
FYLG.US,D,20230310,000000,23.381,23.414,23.0952,23.0952,1238,0
FYLG.US,D,20230313,000000,22.55,22.55,22.2253,22.2253,188,0
FYLG.US,D,20230314,000000,22.755,22.755,22.6925,22.6925,149,0
FYLG.US,D,20230315,000000,22.03,22.03,22.023,22.023,237,0
FYLG.US,D,20230316,000000,22.31,22.4876,22.31,22.4876,208,0
FYLG.US,D,20230317,000000,21.97,21.97,21.938,21.938,431,0
FYLG.US,D,20230320,000000,22,22.0808,22,22.0808,321,0
FYLG.US,D,20230321,000000,22.5043,22.5043,22.5043,22.5043,48,0
FYLG.US,D,20230322,000000,22.1253,22.1253,22.1253,22.1253,10,0
FYLG.US,D,20230323,000000,21.9347,21.9347,21.9347,21.9347,25,0
FYLG.US,D,20230324,000000,21.75,21.925,21.75,21.9089,2101,0
FYLG.US,D,20230327,000000,22.28,22.28,22.1301,22.234,1242,0
FYLG.US,D,20230328,000000,22.215,22.215,22.215,22.215,6,0
FYLG.US,D,20230329,000000,22.42,22.4974,22.4101,22.4974,674,0
FYLG.US,D,20230330,000000,22.4765,22.4765,22.4765,22.4765,18,0
FYLG.US,D,20230331,000000,22.56,22.6753,22.56,22.6753,362,0
FYLG.US,D,20230403,000000,22.71,22.7435,22.71,22.7435,252,0
FYLG.US,D,20230404,000000,22.52,22.5675,22.52,22.5675,175,0
FYLG.US,D,20230405,000000,22.6,22.6,22.57,22.576,501,0
FYLG.US,D,20230406,000000,22.6175,22.6175,22.6175,22.6175,93,0
FYLG.US,D,20230410,000000,22.62,22.6893,22.62,22.6893,436,0
FYLG.US,D,20230411,000000,22.83,22.8526,22.83,22.8526,309,0
FYLG.US,D,20230412,000000,22.93,22.93,22.8323,22.8323,308,0
FYLG.US,D,20230413,000000,22.965,22.965,22.965,22.965,17,0
FYLG.US,D,20230414,000000,23.1499,23.1514,23.11,23.1514,6902,0
FYLG.US,D,20230417,000000,23.3062,23.3062,23.3062,23.3062,15,0
FYLG.US,D,20230418,000000,23.3708,23.3708,23.3708,23.3708,34,0
FYLG.US,D,20230419,000000,23.395,23.395,23.395,23.395,21,0
FYLG.US,D,20230420,000000,23.34,23.36,23.33,23.3538,13722,0
FYLG.US,D,20230421,000000,23.26,23.3225,23.26,23.3225,547,0
FYLG.US,D,20230424,000000,23.1723,23.1723,23.1723,23.1723,24,0
