<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AETH.US,D,20231004,000000,22.8725,23.1147,22.8725,22.992,4488.7922352767,0
AETH.US,D,20231005,000000,23.0493,23.0493,22.524,22.5742,3990.6314394589,0
AETH.US,D,20231006,000000,22.7686,23.0502,22.7686,23.0502,388.0522937379,0
AETH.US,D,20231009,000000,22.2541,22.2541,21.96,22.075,1214.4005666288,0
AETH.US,D,20231010,000000,22.0241,22.0241,21.8238,21.8282,1973.4009207718,0
AETH.US,D,20231011,000000,22.0109,22.0109,21.6512,21.8104,1900.7079291074,0
AETH.US,D,20231012,000000,21.5637,21.5637,21.2485,21.3396,2138.0291666,0
AETH.US,D,20231013,000000,21.7116,21.7116,21.542,21.542,1031.5990728845,0
AETH.US,D,20231016,000000,22.3757,22.3757,22.0296,22.1785,4444.9626373614,0
AETH.US,D,20231017,000000,22.0296,22.0296,21.823,21.823,12983.182114179,0
AETH.US,D,20231018,000000,22.0296,22.0296,21.8613,21.8644,16955.640305721,0
AETH.US,D,20231019,000000,21.9182,21.9361,21.908,21.917,1803.4276020271,0
AETH.US,D,20231020,000000,22.4786,22.4927,22.4693,22.484,804.9679812249,0
AETH.US,D,20231023,000000,23.4141,23.9337,23.4141,23.9337,4009.8737019583,0
AETH.US,D,20231024,000000,25.8088,25.8088,24.7706,24.924,6172.4902039742,0
AETH.US,D,20231025,000000,25.2569,25.5258,25.1821,25.224,2860.6830249108,0
AETH.US,D,20231026,000000,24.9856,25.2501,24.9576,25.2501,866.9708270563,0
AETH.US,D,20231027,000000,25.1821,25.1821,24.8837,25.023,1258.2301645441,0
AETH.US,D,20231030,000000,25.5095,25.6561,25.3879,25.3886,2211.7911728477,0
AETH.US,D,20231031,000000,25.5188,25.5375,25.3504,25.533,2622.2927728349,0
AETH.US,D,20231101,000000,25.6124,26.2298,25.6124,25.9578,826.3482728909,0
AETH.US,D,20231102,000000,25.7706,25.7706,25.3785,25.5247,771.8285291426,0
AETH.US,D,20231103,000000,25.285,25.6225,25.285,25.6225,792.1398062253,0
AETH.US,D,20231106,000000,26.9407,26.9688,26.6944,26.6944,4345.5442811145,0
AETH.US,D,20231107,000000,26.501,26.8594,26.3981,26.8594,988.8384895525,0
AETH.US,D,20231108,000000,26.7162,26.8659,26.5852,26.7052,1381.1668416236,0
AETH.US,D,20231109,000000,27.4645,28.7201,27.4117,28.7201,2539.9786499208,0
AETH.US,D,20231110,000000,29.299,29.6611,29.2699,29.4905,3557.6805332224,0
AETH.US,D,20231113,000000,29.2138,29.6535,28.8677,29.4174,2885.2703603267,0
AETH.US,D,20231114,000000,28.8256,28.8256,27.3336,27.7447,4062.25541654,0
AETH.US,D,20231115,000000,28.3532,28.9519,28.2784,28.766,946.0779062205,0
AETH.US,D,20231116,000000,28.3906,28.4935,27.3429,27.4992,4177.7089915364,0
