<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FMCX.US,D,20220427,000000,24.7789,24.7789,24.489,24.5302,1118.501795294,0
FMCX.US,D,20220428,000000,24.9388,24.9388,24.9088,24.9088,2403.078096866,0
FMCX.US,D,20220429,000000,24.0143,24.0143,24.0143,24.0143,1.000448833,0
FMCX.US,D,20220502,000000,24.0026,24.1891,24.0026,24.1891,400.1795332,0
FMCX.US,D,20220503,000000,24.3691,24.3691,24.2145,24.2145,913.409784529,0
FMCX.US,D,20220504,000000,24.1592,24.8488,24.1592,24.8488,500.2244165,0
FMCX.US,D,20220505,000000,23.8816,23.8816,23.8816,23.8816,3.001346499,0
FMCX.US,D,20220506,000000,23.4583,23.5966,23.4583,23.5966,102.045780966,0
FMCX.US,D,20220509,000000,23.1996,23.1996,22.8067,22.8067,300.1346499,0
FMCX.US,D,20220510,000000,22.9397,22.9397,22.9397,22.9397,327.146768391,0
FMCX.US,D,20220511,000000,22.6198,22.6198,22.6198,22.6198,355.159335715,0
FMCX.US,D,20220512,000000,22.25,22.4985,22.25,22.4985,105.047127465,0
FMCX.US,D,20220513,000000,23.2296,23.2296,23.2296,23.2296,100.0448833,0
FMCX.US,D,20220516,000000,23.0829,23.0829,23.0829,23.0829,4.001795332,0
FMCX.US,D,20220517,000000,23.5894,23.5894,23.5894,23.5894,100.0448833,0
FMCX.US,D,20220518,000000,22.9297,22.9297,22.6782,22.6782,202.090664266,0
FMCX.US,D,20220519,000000,22.7698,22.7698,22.7698,22.7698,100.0448833,0
FMCX.US,D,20220520,000000,22.8997,22.8997,22.8997,22.8997,106.047576298,0
FMCX.US,D,20220523,000000,23.1096,23.1096,23.1096,23.1096,100.0448833,0
FMCX.US,D,20220524,000000,22.8198,22.8856,22.8198,22.8856,300.1346499,0
FMCX.US,D,20220525,000000,23.1395,23.1396,23.0397,23.0397,22820.23788073,0
FMCX.US,D,20220526,000000,23.6094,23.6094,23.6094,23.6094,100.0448833,0
FMCX.US,D,20220527,000000,24.1692,24.1692,24.1692,24.1692,106.047576298,0
FMCX.US,D,20220531,000000,24.2091,24.2091,24.1386,24.1386,303.135996399,0
FMCX.US,D,20220601,000000,24.2291,24.2291,24.0492,24.0842,39640.784109959,0
FMCX.US,D,20220602,000000,24.439,24.439,24.439,24.439,103.046229799,0
FMCX.US,D,20220603,000000,24.0992,24.0992,24.0972,24.0972,100.0448833,0
FMCX.US,D,20220606,000000,24.1492,24.1492,24.1492,24.1492,100.0448833,0
