<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HARD.US,D,20230329,000000,25.01,25.06,24.965,24.965,6024,0
HARD.US,D,20230330,000000,24.97,25.069,24.9312,25.0364,3409,0
HARD.US,D,20230331,000000,25,25,24.9,24.915,3610,0
HARD.US,D,20230403,000000,24.945,24.945,24.89,24.925,4406,0
HARD.US,D,20230404,000000,25.01,25.59,24.9815,25.045,5943,0
HARD.US,D,20230405,000000,25.28,25.29,25.085,25.085,1415,0
HARD.US,D,20230406,000000,25.09,25.149,25.05,25.123,2524,0
HARD.US,D,20230410,000000,25.059,25.059,25.0301,25.0301,113,0
HARD.US,D,20230411,000000,25.1482,25.189,25.1482,25.17,678,0
HARD.US,D,20230412,000000,25.37,25.38,25.3344,25.3344,530,0
HARD.US,D,20230413,000000,25.45,25.45,25.45,25.45,15116,0
HARD.US,D,20230414,000000,25.3966,25.3966,25.195,25.195,1800,0
HARD.US,D,20230417,000000,25,25,24.83,24.83,831,0
HARD.US,D,20230418,000000,24.7723,24.7912,24.725,24.725,2629,0
HARD.US,D,20230419,000000,24.72,24.9,24.661,24.9,1853,0
HARD.US,D,20230420,000000,24.73,24.7301,24.702,24.7301,2276,0
HARD.US,D,20230421,000000,24.89,25.03,24.89,25.03,427,0
HARD.US,D,20230424,000000,25.03,25.03,25.03,25.03,297,0
HARD.US,D,20230425,000000,25.07,25.07,25.055,25.055,671,0
HARD.US,D,20230426,000000,25.07,25.0705,25.07,25.0705,573,0
HARD.US,D,20230427,000000,25.23,25.255,25.21,25.255,404,0
HARD.US,D,20230428,000000,25.2716,25.2716,25.18,25.205,1228,0
HARD.US,D,20230501,000000,25.2,25.22,25.15,25.175,513,0
HARD.US,D,20230502,000000,25.22,25.57,25.22,25.53,1059,0
HARD.US,D,20230503,000000,25.54,25.55,25.35,25.4146,2019,0
HARD.US,D,20230504,000000,25.4699,25.4699,25.31,25.4306,1268,0
HARD.US,D,20230505,000000,25.04,25.04,24.99,25.0188,2606,0
HARD.US,D,20230508,000000,24.87,25.04,24.87,25.0042,4199,0
HARD.US,D,20230509,000000,25.16,25.16,25.16,25.16,308,0
HARD.US,D,20230510,000000,25.24,25.24,25.17,25.17,614,0
HARD.US,D,20230511,000000,25.2083,25.2083,25.2083,25.2083,411,0
HARD.US,D,20230512,000000,25.208,25.22,25.208,25.22,363,0
HARD.US,D,20230515,000000,25,25.06,25,25.015,12823,0
HARD.US,D,20230516,000000,25.4656,25.4656,25.4656,25.4656,206,0
HARD.US,D,20230517,000000,25.525,25.81,25.525,25.7706,351,0
HARD.US,D,20230518,000000,25.77,25.83,25.76,25.8,6974,0
HARD.US,D,20230519,000000,25.67,25.9802,25.64,25.9802,12446,0
HARD.US,D,20230522,000000,25.76,25.8101,25.75,25.8101,641,0
HARD.US,D,20230523,000000,25.83,25.83,25.79,25.7952,1628,0
HARD.US,D,20230524,000000,25.88,25.92,25.87,25.92,1984,0
HARD.US,D,20230525,000000,25.771,25.86,25.771,25.805,51238,0
HARD.US,D,20230526,000000,25.78,25.79,25.7089,25.74,867,0
HARD.US,D,20230530,000000,25.82,25.82,25.795,25.795,897,0
HARD.US,D,20230531,000000,25.746,25.746,25.655,25.655,427,0
HARD.US,D,20230601,000000,25.505,25.505,25.505,25.505,83,0
HARD.US,D,20230602,000000,25.5468,25.5468,25.5468,25.5468,124,0
HARD.US,D,20230605,000000,25.63,26.17,25.535,25.535,2426,0
HARD.US,D,20230606,000000,25.4889,25.4889,25.455,25.455,377,0
HARD.US,D,20230607,000000,25.431,25.49,25.4206,25.49,4281,0
HARD.US,D,20230608,000000,25.4831,25.4831,25.4601,25.4601,373,0
HARD.US,D,20230609,000000,25.4747,25.51,25.41,25.41,4290,0
HARD.US,D,20230612,000000,25.39,25.39,25.25,25.285,7119,0
HARD.US,D,20230613,000000,25.3101,25.36,25.3101,25.33,2672,0
HARD.US,D,20230614,000000,25.38,25.3999,25.34,25.3604,3077,0
HARD.US,D,20230615,000000,25.38,25.38,25.2936,25.31,3033,0
HARD.US,D,20230616,000000,25.2711,25.33,25.27,25.3234,10883,0
HARD.US,D,20230620,000000,25.25,25.3,25.2001,25.2841,6164,0
HARD.US,D,20230621,000000,25.2191,25.23,25.2191,25.23,120,0
HARD.US,D,20230622,000000,25.04,25.1224,25.04,25.1224,1089,0
HARD.US,D,20230623,000000,24.88,25.04,24.88,25.0275,4205,0
HARD.US,D,20230626,000000,25.1503,25.1503,24.985,25.0584,15426,0
HARD.US,D,20230627,000000,24.74,24.75,24.64,24.6426,9125,0
HARD.US,D,20230628,000000,24.4801,24.53,24.4306,24.4306,1359,0
