<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XYLE.US,D,20230224,000000,24.56,24.599,24.55,24.599,1411,0
XYLE.US,D,20230227,000000,24.73,24.77,24.6802,24.6802,2701,0
XYLE.US,D,20230228,000000,24.6881,24.6881,24.6881,24.6881,1,0
XYLE.US,D,20230301,000000,24.73,24.73,24.5618,24.5618,102,0
XYLE.US,D,20230302,000000,24.737,24.737,24.737,24.737,98,0
XYLE.US,D,20230303,000000,25.0007,25.0007,25.0007,25.0007,6,0
XYLE.US,D,20230306,000000,25.09,25.09,25.0525,25.0525,123,0
XYLE.US,D,20230307,000000,24.81,24.81,24.81,24.81,14,0
XYLE.US,D,20230308,000000,24.8685,24.8685,24.8685,24.8685,3,0
XYLE.US,D,20230309,000000,24.5284,24.5284,24.5284,24.5284,71,0
XYLE.US,D,20230310,000000,24.1581,24.1581,24.1581,24.1581,2,0
XYLE.US,D,20230313,000000,25.09,25.09,24.1563,24.1563,3,0
XYLE.US,D,20230314,000000,24.37,24.5277,24.37,24.5277,101,0
XYLE.US,D,20230315,000000,24.3583,24.3583,24.3583,24.3583,3,0
XYLE.US,D,20230316,000000,24.8937,24.8937,24.8937,24.8937,2,0
XYLE.US,D,20230317,000000,24.6994,24.6994,24.6994,24.6994,3,0
XYLE.US,D,20230320,000000,24.36,24.488,24.36,24.488,2022,0
XYLE.US,D,20230321,000000,24.59,24.65,24.59,24.62,424,0
XYLE.US,D,20230322,000000,24.34,25.05,24.34,24.5214,10704,0
XYLE.US,D,20230323,000000,24.5416,24.5416,24.5416,24.5416,1,0
XYLE.US,D,20230324,000000,24.5961,24.5961,24.5961,24.5961,2,0
XYLE.US,D,20230327,000000,24.76,24.78,24.6708,24.6708,4501,0
XYLE.US,D,20230328,000000,24.76,24.76,24.6837,24.6837,206,0
XYLE.US,D,20230329,000000,24.85,24.85,24.8048,24.8048,258,0
XYLE.US,D,20230330,000000,24.8634,24.8634,24.8634,24.8634,35,0
XYLE.US,D,20230331,000000,24.9579,24.9579,24.9579,24.9579,123,0
XYLE.US,D,20230403,000000,24.9741,24.9741,24.9741,24.9741,71,0
XYLE.US,D,20230404,000000,25,25,24.934,24.934,181,0
