<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STXT.US,D,20230811,000000,20.045,20.0599,20.03,20.0567,12138,0
STXT.US,D,20230814,000000,20.03,20.059,20.02,20.04,28832,0
STXT.US,D,20230815,000000,20,20.045,19.89,19.89,10343,0
STXT.US,D,20230816,000000,19.85,19.93,19.83,19.9093,11743,0
STXT.US,D,20230817,000000,19.83,19.85,19.83,19.85,5499,0
STXT.US,D,20230818,000000,19.85,19.9,19.82,19.8435,19797,0
STXT.US,D,20230821,000000,19.86,19.9,19.82,19.8832,4025,0
STXT.US,D,20230822,000000,19.8,19.82,19.77,19.81,4712,0
STXT.US,D,20230823,000000,19.79,19.93,19.78,19.9099,8827,0
STXT.US,D,20230824,000000,20,20,19.9473,19.9473,2726,0
STXT.US,D,20230825,000000,20,20,19.885,19.89,4706,0
STXT.US,D,20230828,000000,19.95,19.96,19.945,19.9597,13042,0
STXT.US,D,20230829,000000,20,20.09,19.97,20.05,7854,0
STXT.US,D,20230830,000000,20.1,20.1,20.06,20.06,1461,0
STXT.US,D,20230831,000000,20.13,20.15,20.1,20.125,3502,0
STXT.US,D,20230901,000000,20.125,20.125,20.055,20.075,3567,0
STXT.US,D,20230905,000000,20.0292,20.0292,19.96,19.9826,12447,0
STXT.US,D,20230906,000000,19.965,19.965,19.94,19.9424,4526,0
STXT.US,D,20230907,000000,19.9225,19.96,19.915,19.95,8753,0
STXT.US,D,20230908,000000,19.988,19.988,19.9672,19.9672,425,0
STXT.US,D,20230911,000000,20.05,20.05,19.9774,19.9796,3531,0
STXT.US,D,20230912,000000,19.975,19.98,19.92,19.9515,8171,0
STXT.US,D,20230913,000000,19.85,19.91,19.85,19.9,11936,0
STXT.US,D,20230914,000000,19.99,19.99,19.96,19.97,1774,0
STXT.US,D,20230915,000000,19.95,19.95,19.94,19.94,1566,0
STXT.US,D,20230918,000000,19.93,19.93,19.93,19.93,987,0
STXT.US,D,20230919,000000,19.93,19.94,19.88,19.91,459776,0
STXT.US,D,20230920,000000,19.9391,19.9391,19.875,19.875,5532,0
STXT.US,D,20230921,000000,19.7802,19.8,19.75,19.75,4470,0
STXT.US,D,20230922,000000,19.84,19.84,19.79,19.8136,4699,0
STXT.US,D,20230925,000000,19.78,19.79,19.7648,19.7648,5109,0
STXT.US,D,20230926,000000,19.7,19.71,19.695,19.71,2643,0
STXT.US,D,20230927,000000,19.6107,19.6107,19.53,19.53,1501,0
STXT.US,D,20230928,000000,19.515,19.54,19.515,19.54,392,0
STXT.US,D,20230929,000000,19.54,19.65,19.5399,19.6199,7111,0
STXT.US,D,20231002,000000,19.56,19.56,19.51,19.51,920,0
STXT.US,D,20231003,000000,19.35,19.45,19.34,19.37,9536,0
STXT.US,D,20231004,000000,19.375,19.39,19.37,19.386,3152,0
STXT.US,D,20231005,000000,19.4,19.42,19.4,19.4087,3916,0
STXT.US,D,20231006,000000,19.4,19.4,19.35,19.365,9420,0
STXT.US,D,20231009,000000,19.42,19.57,19.42,19.5499,13200,0
STXT.US,D,20231010,000000,19.59,19.59,19.56,19.57,5151,0
STXT.US,D,20231011,000000,19.585,19.62,19.58,19.62,3097,0
STXT.US,D,20231012,000000,19.6076,19.62,19.45,19.4594,3790,0
STXT.US,D,20231013,000000,19.53,19.54,19.52,19.53,3722,0
STXT.US,D,20231016,000000,19.5663,19.5867,19.44,19.44,3581,0
STXT.US,D,20231017,000000,19.46,19.47,19.295,19.31,13054,0
STXT.US,D,20231018,000000,19.202,19.21,19.2,19.21,916,0
STXT.US,D,20231019,000000,19.18,19.2,19.1788,19.1825,7005,0
STXT.US,D,20231020,000000,19.23,19.23,19.19,19.2148,1534,0
STXT.US,D,20231023,000000,19.21,19.26,19.145,19.2594,2084,0
STXT.US,D,20231024,000000,19.24,19.33,19.24,19.33,6691,0
STXT.US,D,20231025,000000,19.29,19.29,19.24,19.24,1384,0
STXT.US,D,20231026,000000,19.27,19.3183,19.26,19.3183,2412,0
STXT.US,D,20231027,000000,19.2549,19.26,19.24,19.26,3735,0
STXT.US,D,20231030,000000,19.15,19.2242,19.15,19.2242,5374,0
STXT.US,D,20231031,000000,19.24,19.26,19.23,19.2446,8483,0
STXT.US,D,20231101,000000,19.3,19.38,19.3,19.38,2716,0
STXT.US,D,20231102,000000,19.46,19.5,19.46,19.4821,3675,0
STXT.US,D,20231103,000000,19.7,19.7,19.6355,19.6355,6380,0
