<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TYLG.US,D,20221123,000000,25.37,25.37,25.3196,25.3196,220,0
TYLG.US,D,20221125,000000,25.2354,25.2354,25.2354,25.2354,5,0
TYLG.US,D,20221128,000000,24.8416,24.8416,24.8416,24.8416,16,0
TYLG.US,D,20221129,000000,24.6185,24.6185,24.6185,24.6185,53,0
TYLG.US,D,20221130,000000,25.4861,25.4861,25.4861,25.4861,59,0
TYLG.US,D,20221201,000000,25.5785,25.5785,25.5785,25.5785,1,0
TYLG.US,D,20221202,000000,25.476,25.476,25.476,25.476,2,0
TYLG.US,D,20221205,000000,25.1921,25.1921,25.1921,25.1921,7,0
TYLG.US,D,20221206,000000,24.7816,24.7816,24.7816,24.7816,8,0
TYLG.US,D,20221207,000000,24.6939,24.6939,24.6939,24.6939,33,0
TYLG.US,D,20221208,000000,25,25.0019,25,25.0019,204,0
TYLG.US,D,20221209,000000,24.95,24.9713,24.95,24.9713,401,0
TYLG.US,D,20221212,000000,25.2932,25.2932,25.2932,25.2932,6,0
TYLG.US,D,20221213,000000,25.5673,25.5673,25.5673,25.5673,1,0
TYLG.US,D,20221214,000000,25.73,25.735,25.4868,25.4868,232,0
TYLG.US,D,20221215,000000,24.7728,24.7728,24.7728,24.7728,42,0
TYLG.US,D,20221216,000000,24.5543,24.5543,24.5543,24.5543,9,0
TYLG.US,D,20221219,000000,24.3025,24.3025,24.3025,24.3025,7,0
TYLG.US,D,20221220,000000,24.3449,24.3449,24.3449,24.3449,50,0
TYLG.US,D,20221221,000000,24.6754,24.6754,24.6754,24.6754,3,0
TYLG.US,D,20221222,000000,24.1558,24.1558,24.1558,24.1558,10,0
TYLG.US,D,20221223,000000,24.1891,24.1891,24.1891,24.1891,6,0
TYLG.US,D,20221227,000000,24.0111,24.0111,24.0111,24.0111,18,0
TYLG.US,D,20221228,000000,23.6788,23.6788,23.6788,23.6788,16,0
TYLG.US,D,20221229,000000,24.1212,24.1212,24.1212,24.1212,10,0
TYLG.US,D,20221230,000000,24.0751,24.0751,24.0751,24.0751,4,0
TYLG.US,D,20230103,000000,23.8997,23.8997,23.8997,23.8997,2,0
TYLG.US,D,20230104,000000,23.9285,23.9285,23.9285,23.9285,85,0
TYLG.US,D,20230105,000000,23.7389,23.7389,23.5281,23.5281,124,0
TYLG.US,D,20230106,000000,23.7182,24.1828,23.7182,24.1828,1962,0
TYLG.US,D,20230109,000000,24.779,24.78,24.4197,24.4197,413,0
TYLG.US,D,20230110,000000,24.5437,24.5437,24.5437,24.5437,68,0
TYLG.US,D,20230111,000000,24.8796,24.8796,24.8796,24.8796,27,0
TYLG.US,D,20230112,000000,25.0823,25.0823,25.0823,25.0823,58,0
TYLG.US,D,20230113,000000,25.1776,25.1776,25.1776,25.1776,7,0
TYLG.US,D,20230117,000000,25.2587,25.2587,25.2587,25.2587,9,0
TYLG.US,D,20230118,000000,25.0586,25.0586,25.0586,25.0586,5,0
TYLG.US,D,20230119,000000,24.8651,24.8651,24.8651,24.8651,17,0
TYLG.US,D,20230120,000000,25.3576,25.3576,25.3576,25.3576,2,0
TYLG.US,D,20230123,000000,25.6039,25.6039,25.6039,25.6039,7,0
TYLG.US,D,20230124,000000,25.5992,25.5992,25.5992,25.5992,1,0
TYLG.US,D,20230125,000000,25.5542,25.5542,25.5542,25.5542,20,0
TYLG.US,D,20230126,000000,25.62,25.8084,25.62,25.8084,404,0
TYLG.US,D,20230127,000000,25.9037,25.9037,25.9037,25.9037,2,0
TYLG.US,D,20230130,000000,25.585,25.585,25.585,25.585,9,0
TYLG.US,D,20230131,000000,25.7362,25.8042,25.7362,25.8042,125,0
TYLG.US,D,20230201,000000,25.835,26.1766,25.79,26.1766,1137,0
TYLG.US,D,20230202,000000,26.45,26.58,26.38,26.5564,1677,0
TYLG.US,D,20230203,000000,26.44,26.4719,26.44,26.4719,164,0
TYLG.US,D,20230206,000000,26.2912,26.2912,26.2912,26.2912,6,0
TYLG.US,D,20230207,000000,26.6681,26.6681,26.6681,26.6681,1,0
TYLG.US,D,20230208,000000,26.471,26.471,26.471,26.471,1,0
TYLG.US,D,20230209,000000,26.4151,26.4151,26.4151,26.4151,11,0
TYLG.US,D,20230210,000000,26.3383,26.3383,26.3383,26.3383,5,0
TYLG.US,D,20230213,000000,26.56,26.5735,26.56,26.5713,450,0
TYLG.US,D,20230214,000000,26.56,26.6809,26.56,26.6809,6,0
TYLG.US,D,20230215,000000,26.6994,26.6994,26.6994,26.6994,12,0
TYLG.US,D,20230216,000000,26.54,26.54,26.4857,26.4857,101,0
TYLG.US,D,20230217,000000,26.2468,26.2468,26.2468,26.2468,1,0
TYLG.US,D,20230221,000000,25.9999,26.01,25.6407,25.6407,1588,0
TYLG.US,D,20230222,000000,25.5737,25.5737,25.5737,25.5737,5,0
TYLG.US,D,20230223,000000,25.965,25.9829,25.965,25.9829,226,0
TYLG.US,D,20230224,000000,25.5795,25.5795,25.5795,25.5795,9,0
TYLG.US,D,20230227,000000,25.7185,25.7185,25.7185,25.7185,107,0
TYLG.US,D,20230228,000000,25.7323,25.7323,25.7323,25.7323,6,0
TYLG.US,D,20230301,000000,25.965,25.965,25.5008,25.5008,4,0
TYLG.US,D,20230302,000000,25.801,25.801,25.801,25.801,4,0
TYLG.US,D,20230303,000000,26.2999,26.2999,26.2999,26.2999,83,0
TYLG.US,D,20230306,000000,26.6,26.6,26.4084,26.4084,174,0
TYLG.US,D,20230307,000000,26.1316,26.1316,26.1316,26.1316,19,0
TYLG.US,D,20230308,000000,26.3282,26.3282,26.3282,26.3282,6,0
TYLG.US,D,20230309,000000,26.03,26.03,26.03,26.03,35,0
TYLG.US,D,20230310,000000,25.5577,25.5577,25.5577,25.5577,3,0
TYLG.US,D,20230313,000000,26.6,26.6,25.7118,25.7118,12,0
TYLG.US,D,20230314,000000,26.2665,26.2665,26.2665,26.2665,5,0
TYLG.US,D,20230315,000000,25.98,26.29,25.98,26.226,1106,0
TYLG.US,D,20230316,000000,26.9507,26.9507,26.9507,26.9507,42,0
TYLG.US,D,20230317,000000,26.93,26.93,26.8703,26.8703,145,0
TYLG.US,D,20230320,000000,27.17,27.17,26.9192,26.9192,208,0
TYLG.US,D,20230321,000000,26.89,26.9897,26.89,26.9897,347,0
TYLG.US,D,20230322,000000,26.99,26.99,26.8645,26.8645,624,0
TYLG.US,D,20230323,000000,27.249,27.249,27.1298,27.1298,276,0
TYLG.US,D,20230324,000000,27.1288,27.1288,27.1288,27.1288,6,0
TYLG.US,D,20230327,000000,27.19,27.19,27.0337,27.0337,271,0
TYLG.US,D,20230328,000000,26.89,26.9737,26.89,26.9737,208,0
TYLG.US,D,20230329,000000,27.211,27.3791,27.21,27.3791,1488,0
TYLG.US,D,20230330,000000,27.5853,27.5853,27.5853,27.5853,27,0
TYLG.US,D,20230331,000000,27.8481,27.8481,27.8481,27.8481,203,0
TYLG.US,D,20230403,000000,27.8436,27.8436,27.8436,27.8436,18,0
TYLG.US,D,20230404,000000,27.7341,27.7341,27.7341,27.7341,85,0
TYLG.US,D,20230405,000000,27.495,27.5719,27.495,27.5719,669,0
TYLG.US,D,20230406,000000,27.6738,27.6738,27.6738,27.6738,92,0
TYLG.US,D,20230410,000000,27.669,27.669,27.669,27.669,25,0
TYLG.US,D,20230411,000000,27.531,27.531,27.531,27.531,3,0
TYLG.US,D,20230412,000000,27.54,27.545,27.4468,27.4468,749,0
TYLG.US,D,20230413,000000,27.7626,27.7626,27.7626,27.7626,17,0
TYLG.US,D,20230414,000000,27.63,27.72,27.63,27.6804,6701,0
TYLG.US,D,20230417,000000,27.755,27.755,27.755,27.755,77,0
TYLG.US,D,20230418,000000,27.79,27.8131,27.79,27.8131,215,0
TYLG.US,D,20230419,000000,27.71,27.7892,27.71,27.7726,293,0
TYLG.US,D,20230420,000000,27.673,27.673,27.673,27.673,39,0
TYLG.US,D,20230421,000000,27.6819,27.6819,27.6819,27.6819,39,0
TYLG.US,D,20230424,000000,27.5561,27.5561,27.4642,27.4642,454,0
TYLG.US,D,20230425,000000,27.05,27.05,27.0027,27.0027,421,0
TYLG.US,D,20230426,000000,27.3409,27.3409,27.3409,27.3409,138,0
TYLG.US,D,20230427,000000,27.45,27.7897,27.45,27.7897,302,0
TYLG.US,D,20230428,000000,27.88,28.0052,27.8467,28.0052,4523,0
TYLG.US,D,20230501,000000,28.0516,28.0516,28.0516,28.0516,16,0
TYLG.US,D,20230502,000000,27.8706,27.8706,27.8706,27.8706,7,0
TYLG.US,D,20230503,000000,27.6902,27.6902,27.6902,27.6902,252,0
TYLG.US,D,20230504,000000,27.67,27.67,27.584,27.584,187,0
TYLG.US,D,20230505,000000,28.15,28.15,28.1187,28.1187,426,0
TYLG.US,D,20230508,000000,28.1375,28.1375,28.1375,28.1375,56,0
TYLG.US,D,20230509,000000,28.0024,28.0024,28.0024,28.0024,21,0
TYLG.US,D,20230510,000000,28.18,28.2279,28.06,28.2279,3533,0
TYLG.US,D,20230511,000000,28.11,28.16,28.11,28.1381,4020,0
TYLG.US,D,20230512,000000,28.14,28.165,28.14,28.165,675,0
TYLG.US,D,20230515,000000,28.179,28.3129,28.179,28.3129,603,0
TYLG.US,D,20230516,000000,28.335,28.335,28.335,28.335,188,0
TYLG.US,D,20230517,000000,28.4,28.5421,28.4,28.5421,2238,0
TYLG.US,D,20230518,000000,28.8,28.8547,28.7999,28.8547,1565,0
TYLG.US,D,20230519,000000,28.97,28.97,28.8854,28.8854,983,0
TYLG.US,D,20230522,000000,28.81,28.81,28.71,28.7515,2652,0
TYLG.US,D,20230523,000000,28.522,28.61,28.4825,28.4825,819,0
TYLG.US,D,20230524,000000,28.34,28.34,28.3095,28.3095,2219,0
TYLG.US,D,20230525,000000,29.0591,29.0591,29.0591,29.0591,60,0
TYLG.US,D,20230526,000000,29.52,29.5599,29.52,29.54,2204,0
TYLG.US,D,20230530,000000,29.91,29.91,29.6159,29.6159,1083,0
TYLG.US,D,20230531,000000,29.63,29.63,29.4961,29.4961,1014,0
TYLG.US,D,20230601,000000,29.6857,29.6857,29.6857,29.6857,110,0
TYLG.US,D,20230602,000000,29.7996,29.7996,29.7996,29.7996,41,0
TYLG.US,D,20230605,000000,29.7764,29.8189,29.705,29.705,780,0
TYLG.US,D,20230606,000000,29.689,29.7137,29.689,29.7137,155,0
TYLG.US,D,20230607,000000,29.4544,29.4544,29.4544,29.4544,50,0
TYLG.US,D,20230608,000000,29.6533,29.6533,29.6533,29.6533,37,0
TYLG.US,D,20230609,000000,29.7237,29.7237,29.7237,29.7237,168,0
TYLG.US,D,20230612,000000,30.0716,30.0716,30.0716,30.0716,53,0
TYLG.US,D,20230613,000000,30.08,30.155,30.08,30.155,393,0
TYLG.US,D,20230614,000000,30.3057,30.3057,30.3057,30.3057,56,0
TYLG.US,D,20230615,000000,30.28,30.5728,30.28,30.5728,1562,0
TYLG.US,D,20230616,000000,30.54,30.56,30.3575,30.3575,1485,0
TYLG.US,D,20230620,000000,30.2681,30.33,29.95,30.0201,4524,0
TYLG.US,D,20230621,000000,29.62,29.7187,29.61,29.68,19800,0
TYLG.US,D,20230622,000000,29.9576,29.9576,29.9576,29.9576,97,0
TYLG.US,D,20230623,000000,29.6775,29.6775,29.6775,29.6775,40,0
TYLG.US,D,20230626,000000,29.503,29.503,29.503,29.503,50,0
TYLG.US,D,20230627,000000,30.0124,30.0124,30.0124,30.0124,169,0
TYLG.US,D,20230628,000000,29.9749,29.9749,29.9749,29.9749,86,0
TYLG.US,D,20230629,000000,30.0639,30.0639,30.0639,30.0639,227,0
TYLG.US,D,20230630,000000,30.479,30.5001,30.479,30.5001,396,0
TYLG.US,D,20230703,000000,30.4275,30.4275,30.4275,30.4275,19,0
TYLG.US,D,20230705,000000,30.45,30.45,30.3007,30.3007,1065,0
TYLG.US,D,20230706,000000,30.19,30.2512,30.19,30.2512,215,0
TYLG.US,D,20230707,000000,30.261,30.261,30.1408,30.1408,196,0
TYLG.US,D,20230710,000000,30.07,30.1905,30.07,30.1905,440,0
TYLG.US,D,20230711,000000,30.235,30.2767,30.06,30.2767,244,0
TYLG.US,D,20230712,000000,30.5725,30.5725,30.5725,30.5725,126,0
TYLG.US,D,20230713,000000,30.7209,30.9009,30.7209,30.9009,144,0
TYLG.US,D,20230714,000000,31.05,31.05,30.8423,30.8423,1574,0
TYLG.US,D,20230717,000000,31.03,31.17,31.03,31.1324,3641,0
TYLG.US,D,20230718,000000,31.07,31.37,31.07,31.3288,5221,0
TYLG.US,D,20230719,000000,31.385,31.385,31.293,31.293,453,0
TYLG.US,D,20230720,000000,30.94,30.9534,30.94,30.9534,189,0
TYLG.US,D,20230721,000000,31.17,31.21,30.9282,30.9282,5015,0
TYLG.US,D,20230724,000000,30.87,30.87,30.8149,30.8149,145,0
TYLG.US,D,20230725,000000,31.0966,31.0966,31.0966,31.0966,52,0
TYLG.US,D,20230726,000000,30.705,30.7768,30.68,30.7768,2818,0
